Model,TBS2102
Firmware Version,v1.26.0

Point Format,Y
Horizontal Units,S
Horizontal Scale,1e-05
Sample Interval,8e-09
Filter Frequency,1e+08
Record Length,20000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,5
Label,
TIME,CH1
-2.03760e-05,-13.75
-2.03680e-05,-13.75
-2.03600e-05,-13.5
-2.03520e-05,-13.75
-2.03440e-05,-13.75
-2.03360e-05,-13.75
-2.03280e-05,-13.75
-2.03200e-05,-13.75
-2.03120e-05,-13.75
-2.03040e-05,-13.75
-2.02960e-05,-13.5
-2.02880e-05,-13.75
-2.02800e-05,-13.5
-2.02720e-05,-13.75
-2.02640e-05,-13.75
-2.02560e-05,-13.5
-2.02480e-05,-13.5
-2.02400e-05,-13.75
-2.02320e-05,-13.75
-2.02240e-05,-13.75
-2.02160e-05,-13.5
-2.02080e-05,-13.75
-2.02000e-05,-13.75
-2.01920e-05,-13.75
-2.01840e-05,-13.75
-2.01760e-05,-13.75
-2.01680e-05,-13.75
-2.01600e-05,-13.5
-2.01520e-05,-13.75
-2.01440e-05,-14
-2.01360e-05,-13.5
-2.01280e-05,-13.75
-2.01200e-05,-13.75
-2.01120e-05,-13.75
-2.01040e-05,-13.5
-2.00960e-05,-13.5
-2.00880e-05,-13.75
-2.00800e-05,-13.5
-2.00720e-05,-13.5
-2.00640e-05,-13.75
-2.00560e-05,-13.75
-2.00480e-05,-13.75
-2.00400e-05,-13.75
-2.00320e-05,-13.75
-2.00240e-05,-13.75
-2.00160e-05,-13.75
-2.00080e-05,-13.75
-2.00000e-05,-13.75
-1.99920e-05,-13.5
-1.99840e-05,-13.75
-1.99760e-05,-13.75
-1.99680e-05,-13.75
-1.99600e-05,-13.75
-1.99520e-05,-13.5
-1.99440e-05,-13.75
-1.99360e-05,-13.75
-1.99280e-05,-13.75
-1.99200e-05,-13.75
-1.99120e-05,-13.75
-1.99040e-05,-13.75
-1.98960e-05,-13.75
-1.98880e-05,-13.75
-1.98800e-05,-13.75
-1.98720e-05,-13.5
-1.98640e-05,-13.75
-1.98560e-05,-13.5
-1.98480e-05,-13.75
-1.98400e-05,-13.5
-1.98320e-05,-13.75
-1.98240e-05,-13.75
