Time [s],Voltage [V],Set Frequency [rad/s],Measured Frequency [rad/s]
0.858,1,8.34999999992281,7.64795269632103
0.86,1,8.34999999992725,7.6554274518082
0.862,1,8.34999999993143,7.66084183350453
0.864,1,8.34999999993538,7.66462322654314
0.866,1,8.34999999993909,7.59146176852404
0.868,1,8.34999999994259,7.56019332580326
0.87,1,8.3499999999459,7.55434870282375
0.872,1,8.34999999994901,7.56263713982579
0.874,1,8.34999999995194,7.57764342084228
0.876,1,8.3499999999547,7.59475065863739
0.878,1,8.34999999995731,7.61128972957082
0.88,1,8.34999999995977,7.70159242541579
0.882,1,8.34999999996208,7.67091622276419
0.884,1,8.34999999996426,7.65445947582516
0.886,1,8.34999999996631,7.64720889167685
0.888,1,8.34999999996825,7.5698838060525
0.89,1,8.34999999997008,7.53852493762832
0.892,1,8.3499999999718,7.53477068300969
0.894,1,8.34999999997342,7.54610599710612
0.896,1,8.34999999997495,7.56436845991689
0.898,1,8.34999999997639,7.58452211047102
0.9,1,8.34999999997775,7.60369507446147
0.902,1,8.34999999997903,7.62045283149283
0.904,1,8.34999999998023,7.55856993554984
0.906,1,8.34999999998137,7.53656162156193
0.908,1,8.34999999998244,7.53798694167831
0.91,1,8.34999999998345,7.55176662153022
0.912,1,8.3499999999844,7.57077376181934
0.914,1,8.3499999999853,7.59069230342138
0.916,1,8.34999999998614,7.60913093148146
0.918,1,8.34999999998694,7.624960636133
0.92,1,8.34999999998769,7.63783690916002
0.922,1,8.3499999999884,7.64786754757259
0.924,1,8.34999999998906,7.65539088262519
0.926,1,8.34999999998969,7.66083477663446
0.928,1,8.34999999999028,7.66463260239995
0.93,1,8.34999999999084,7.66717789878128
0.932,1,8.34999999999137,7.66880412407963
0.934,1,8.34999999999187,7.66977979006459
0.936,1,8.34999999999233,7.59461335968077
0.938,1,8.34999999999278,7.56196479733627
0.94,1,8.34999999999319,7.55520944441424
0.942,1,8.34999999999358,7.56292731989082
0.944,1,8.34999999999395,7.57760073253336
0.946,1,8.3499999999943,7.59453469496093
0.948,1,8.34999999999463,7.61100268860597
0.95,1,8.34999999999494,7.62559689750622
0.952,1,8.34999999999523,7.63775159614604
0.954,1,8.3499999999955,7.64740590439376
0.956,1,8.34999999999576,7.65477413903309
0.958,1,8.349999999996,7.66019620220201
0.96,1,8.34999999999623,7.66404541232926
0.962,1,8.34999999999645,7.59097714299407
0.964,1,8.34999999999665,7.55980621997498
0.966,1,8.34999999999684,7.55405180122767
0.968,1,8.34999999999703,7.56241763898421
0.97,1,8.3499999999972,7.57748685467272
0.972,1,8.34999999999736,7.59464310228598
0.974,1,8.34999999999751,7.61121892109992
0.976,1,8.34999999999765,7.62584928209838
0.978,1,8.34999999999779,7.63799834801482
0.98,1,8.34999999999792,7.64762529940836
0.982,1,8.34999999999804,7.65495729369685
0.984,1,8.34999999999815,7.66034195653051
0.986,1,8.34999999999826,7.664156839073
0.988,1,8.34999999999836,7.66675818624582
0.99,1,8.34999999999845,7.66845572231807
0.992,1,8.34999999999854,7.66950379775127
0.994,1,8.34999999999862,7.67010213378944
0.996,1,8.3499999999987,7.6704016111698
0.998,1,8.34999999999878,7.67051217708187
1,1,8.34999999999885,7.67051110121158
1.002,1,8.34999999999891,7.67045060308136
1.004,1,8.34999999999898,7.67036439137175
1.006,1,8.34999999999904,7.6702729776954
1.008,1,8.34999999999909,7.59448889477338
1.01,1,8.34999999999914,7.56152327850438
