Time [s],Voltage [V],Set Frequency [rad/s],Measured Frequency [rad/s]
5.976,1,8.83000000850423,7.66993573482311
5.978,1,8.83000000813846,7.66992194953473
5.98,1,8.83000000778842,7.66991282156359
5.982,1,8.83000000745343,7.66990707781224
5.984,1,8.83000000713285,7.66990370544405
5.986,1,8.83000000682606,7.59420301268265
5.988,1,8.83000000653247,7.56131007625972
5.99,1,8.8300000062515,7.55448903917029
5.992,1,8.83000000598262,7.56224299238129
5.994,1,8.8300000057253,7.57700318242762
5.996,1,8.83000000547905,7.59404239121131
5.998,1,8.8300000052434,7.61061509163169
6,1,8.83000000501787,7.62530338545332
6.002,1,8.83000000480205,7.63753721953302
6.004,1,8.83000000459551,7.64725488166208
6.006,1,8.83000000439785,7.65467180253063
6.008,1,8.8300000042087,7.66012992586097
6.01,1,8.83000000402768,7.66400490481666
6.012,1,8.83000000385445,7.74235220894633
6.014,1,8.83000000368866,7.77697736774095
6.016,1,8.83000000353001,7.70917318525239
6.018,1,8.83000000337818,7.66914364085665
6.02,1,8.83000000323289,7.64787455131486
6.022,1,8.83000000309384,7.63870788701592
6.024,1,8.83000000296077,7.63689906271526
6.026,1,8.83000000283342,7.63919203142069
6.028,1,8.83000000271156,7.6434458076355
6.03,1,8.83000000259493,7.64832527389557
6.032,1,8.83000000248332,7.65305677993132
6.034,1,8.83000000237651,7.65724241126177
6.036,1,8.8300000022743,7.66072387183247
6.038,1,8.83000000217648,7.66348625557286
6.04,1,8.83000000208286,7.66559258446487
6.042,1,8.83000000199328,7.66714121243795
6.044,1,8.83000000190755,7.66823962560296
6.046,1,8.8300000018255,7.66898957098125
6.048,1,8.83000000174699,7.66947969342958
6.05,1,8.83000000167185,7.66978290271148
6.052,1,8.83000000159994,7.66995652258562
6.054,1,8.83000000153113,7.67004390857908
6.056,1,8.83000000146527,7.67007668920779
6.058,1,8.83000000140225,7.67007711842622
6.06,1,8.83000000134194,7.67006025520744
6.062,1,8.83000000128422,7.67003583583231
6.064,1,8.83000000122898,7.67000979753941
6.066,1,8.83000000117612,7.66998546590104
6.068,1,8.83000000112554,7.66996444570315
6.07,1,8.83000000107713,7.66994726580679
6.072,1,8.8300000010308,7.66993382918293
6.074,1,8.83000000098646,7.66992371464871
6.076,1,8.83000000094404,7.66991636974829
6.078,1,8.83000000090343,7.66991122655509
6.08,1,8.83000000086457,7.66990776494574
6.082,1,8.83000000082739,7.59420662394332
6.084,1,8.8300000007918,7.5613130920969
6.086,1,8.83000000075775,7.55449143987097
6.088,1,8.83000000072516,7.56224482814566
6.09,1,8.83000000069397,7.57700453578017
6.092,1,8.83000000066412,7.59404335376675
6.094,1,8.83000000063555,7.61061575081017
6.096,1,8.83000000060822,7.62530381780997
